MeSH Code	MeSH Name	ICD10 Code	ICD10 Name
D008654	Mesothelioma	C45	Mesothelioma
D008654	Mesothelioma	C45.9	Mesothelioma, unspecified
D008659	Metabolic Diseases	E70-E90.9	Metabolic disorders
D008659	Metabolic Diseases	E88.9	Metabolic disorder, unspecified
D037061	Metatarsalgia	M77.4	Metatarsalgia
D008708	Methemoglobinemia	D74	Methaemoglobinaemia
D008708	Methemoglobinemia	D74.9	Methaemoglobinaemia, unspecified
D008831	Microcephaly	Q02	Microcephaly
D008850	Microphthalmos	Q11.2	Microphthalmos
D008865	Microstomia	Q18.5	Microstomia
D008883	Miliaria	L74.3	Miliaria, unspecified
D008944	Mitral Valve Insufficiency	I34.0	Mitral (valve) insufficiency
D008945	Mitral Valve Prolapse	I34.1	Mitral (valve) prolapse
D008976	Molluscum Contagiosum	B08.1	Molluscum contagiosum
D009041	Motion Sickness	T75.3	Motion sickness
D019957	Motor Skills Disorders	F82	Specific developmental disorder of motor function
D009050	Fluorosis, Dental	K00.3	Mottled teeth
D009058	Mouth Breathing	R06.5	Mouth breathing
D009072	Moyamoya Disease	I67.5	Moyamoya disease
D009080	Mucocutaneous Lymph Node Syndrome	M30.3	Mucocutaneous lymph node syndrome [Kawasaki]
D009083	Mucopolysaccharidoses	E76.3	Mucopolysaccharidosis, unspecified
D016532	Mucopolysaccharidosis II	E76.1	Mucopolysaccharidosis, type II
D009091	Mucormycosis	B46.5	Mucormycosis, unspecified
D009101	Multiple Myeloma	C90.0	Multiple myeloma
D009103	Multiple Sclerosis	G35	Multiple sclerosis
D009104	Multiple Trauma	T07	Unspecified multiple injuries
D009107	Mumps	B26	Mumps
D009134	Muscular Atrophy, Spinal	G12.9	Spinal muscular atrophy, unspecified
D009135	Muscular Diseases	M60-M63.9	Disorders of muscles
D009135	Muscular Diseases	G72.9	Myopathy, unspecified
D009135	Muscular Diseases	M62.9	Disorder of muscle, unspecified
D009136	Muscular Dystrophies	G71.0	Muscular dystrophy
D009157	Myasthenia Gravis	G70.0	Myasthenia gravis
D009164	Mycobacterium Infections	A31.9	Mycobacterial infection, unspecified
D009175	Mycoplasma Infections	A49.3	Mycoplasma infection, unspecified
D009181	Mycoses	B35-B49.9	Mycoses
D009181	Mycoses	B49	Unspecified mycosis
D009182	Mycosis Fungoides	C84.0	Mycosis fungoides
D009198	Myiasis	B87	Myiasis
D009198	Myiasis	B87.9	Myiasis, unspecified
D009205	Myocarditis	I51.4	Myocarditis, unspecified
D009207	Myoclonus	G25.3	Myoclonus
D009212	Myoglobinuria	R82.1	Myoglobinuria
D009216	Myopia	H52.1	Myopia
D009220	Myositis	M60	Myositis
D009220	Myositis	M60.9	Myositis, unspecified
D009260	Nail Diseases	L60	Nail disorders
D009260	Nail Diseases	L60.9	Nail disorder, unspecified
D009263	Nails, Ingrown	L60.0	Ingrowing nail
D009298	Nasal Polyps	J33	Nasal polyp
D009298	Nasal Polyps	J33.9	Nasal polyp, unspecified
D009298	Nasal Polyps	J33.0	Polyp of nasal cavity
D009332	Necatoriasis	B76.1	Necatoriasis
D019838	Neck Injuries	S10-S19.9	Injuries to the neck
D019838	Neck Injuries	S19.9	Unspecified injury of neck
D009347	Nelson Syndrome	E24.1	Nelson's syndrome
D009369	Neoplasms	C00-D48.9	Neoplasms
D009404	Nephrotic Syndrome	N04	Nephrotic syndrome
D009404	Nephrotic Syndrome	N04.9	Nephrotic syndrome, unspecified
D009422	Nervous System Diseases	G00-G99.9	Diseases of the nervous system
D009440	Neurasthenia	F48.0	Neurasthenia
D009459	Neuroleptic Malignant Syndrome	G21.0	Malignant neuroleptic syndrome
D009468	Neuromuscular Diseases	G70.9	Myoneural disorder, unspecified
D009471	Neuromyelitis Optica	G36.0	Neuromyelitis optica [Devic]
D009472	Neuronal Ceroid-Lipofuscinoses	E75.4	Neuronal ceroid lipofuscinosis
D015417	Hereditary Sensory and Motor Neuropathy	G60.0	Hereditary motor and sensory neuropathy
D009494	Neurosyphilis	A52.3	Neurosyphilis, unspecified
D009497	Neurotic Disorders	F48.9	Neurotic disorder, unspecified
D009508	Nevus, Pigmented	D22	Melanocytic naevi
D009508	Nevus, Pigmented	D22.9	Melanocytic naevi, unspecified
D009755	Night Blindness	H53.6	Night blindness
D009617	Nocardia Infections	A43	Nocardiosis
D009617	Nocardia Infections	A43.9	Nocardiosis, unspecified
D009631	Nonodontogenic Cysts	K09.1	Developmental (nonodontogenic) cysts of oral region
D009667	Nose Deformities, Acquired	M95.0	Acquired deformity of nose
D009765	Obesity	E66	Obesity
D009765	Obesity	E66.9	Obesity, unspecified
D009771	Obsessive-Compulsive Disorder	F42	Obsessive-compulsive disorder
D009771	Obsessive-Compulsive Disorder	F42.9	Obsessive-compulsive disorder, unspecified
D015814	Ocular Hypotension	H44.4	Hypotony of eye
D015840	Oculomotor Nerve Diseases	H49.0	Third [oculomotor] nerve palsy
D009839	Oligomenorrhea	N91.5	Oligomenorrhoea, unspecified
D009855	Onchocerciasis	B73	Onchocerciasis
D009889	Opisthorchiasis	B66.0	Opisthorchiasis
D009896	Optic Atrophy	H47.2	Optic atrophy
D009902	Optic Neuritis	H46	Optic neuritis
D009914	Oral Submucous Fibrosis	K13.5	Oral submucous fibrosis
D009916	Orbital Diseases	H05.9	Disorder of orbit, unspecified
D009916	Orbital Diseases	H05	Disorders of orbit
D010001	Osteitis Deformans	M88	Paget's disease of bone [osteitis deformans]
D010001	Osteitis Deformans	M88.9	Paget's disease of bone, unspecified
D015207	Osteoarthritis, Hip	M16	Coxarthrosis [arthrosis of hip]
D015207	Osteoarthritis, Hip	M16.9	Coxarthrosis, unspecified
D010004	Osteoarthropathy, Primary Hypertrophic	L62.0	Clubbed nail pachydermoperiostosis
D010008	Osteochondritis Dissecans	M93.2	Osteochondritis dissecans
D010009	Osteochondrodysplasias	Q78.9	Osteochondrodysplasia, unspecified
D010013	Osteogenesis Imperfecta	Q78.0	Osteogenesis imperfecta
D010019	Osteomyelitis	M86	Osteomyelitis
D010019	Osteomyelitis	M86.9	Osteomyelitis, unspecified
D010020	Osteonecrosis	M87	Osteonecrosis
D010020	Osteonecrosis	M87.9	Osteonecrosis, unspecified
D010022	Osteopetrosis	Q78.2	Osteopetrosis
D010024	Osteoporosis	M81.9	Osteoporosis, unspecified
D015663	Osteoporosis, Postmenopausal	M81.0	Postmenopausal osteoporosis
D010032	Otitis Externa	H60	Otitis externa
D010032	Otitis Externa	H60.9	Otitis externa, unspecified
D010033	Otitis Media	H66.9	Otitis media, unspecified
D010035	Otitis Media, Suppurative	H66.4	Suppurative otitis media, unspecified
D010035	Otitis Media, Suppurative	H66	Suppurative and unspecified otitis media
D010040	Otosclerosis	H80	Otosclerosis
D010040	Otosclerosis	H80.9	Otosclerosis, unspecified
D010146	Pain	R52.9	Pain, unspecified
D010167	Pallor	R23.1	Pallor
D010181	Pancreatic Cyst	K86.2	Cyst of pancreas
D010182	Pancreatic Diseases	K86.9	Disease of pancreas, unspecified
D010192	Pancreatic Pseudocyst	K86.3	Pseudocyst of pancreas
D016584	Panic Disorder	F41.0	Panic disorder [episodic paroxysmal anxiety]
D015434	Panniculitis	M79.3	Panniculitis, unspecified
D010201	Panniculitis, Nodular Nonsuppurative	M35.6	Relapsing panniculitis [Weber-Christian]
D010211	Papilledema	H47.1	Papilloedema, unspecified
D010217	Phlebotomus Fever	A93.1	Sandfly fever
D010229	Paracoccidioidomycosis	B41	Paracoccidioidomycosis
D010229	Paracoccidioidomycosis	B41.9	Paracoccidioidomycosis, unspecified
D010237	Paragonimiasis	B66.4	Paragonimiasis
D010260	Paranoid Personality Disorder	F60.0	Paranoid personality disorder
D015493	Paraparesis, Tropical Spastic	G04.1	Tropical spastic paraplegia
D010264	Paraplegia	G82.2	Paraplegia, unspecified
D010267	Parapsoriasis	L41	Parapsoriasis
D010267	Parapsoriasis	L41.9	Parapsoriasis, unspecified
D010279	Parathyroid Diseases	E21.5	Disorder of parathyroid gland, unspecified
D010284	Paratyphoid Fever	A01.4	Paratyphoid fever, unspecified
D010300	Parkinson Disease	G20	Parkinson's disease
D010301	Parkinson Disease, Postencephalitic	G21.3	Postencephalitic parkinsonism
D010302	Parkinson Disease, Secondary	G21	Secondary parkinsonism
D010302	Parkinson Disease, Secondary	G21.9	Secondary parkinsonism, unspecified
D015868	Pars Planitis	H30.2	Posterior cyclitis
D010326	Pasteurella Infections	A28.0	Pasteurellosis
D010373	Lice Infestations	B85.2	Pediculosis, unspecified
D010378	Pedophilia	F65.4	Paedophilia
D010382	Peliosis Hepatis	K76.4	Peliosis hepatis
D010390	Pemphigoid, Benign Mucous Membrane	L12.1	Cicatricial pemphigoid
D010391	Pemphigoid, Bullous	L12.0	Bullous pemphigoid
D010391	Pemphigoid, Bullous	L12	Pemphigoid
D010391	Pemphigoid, Bullous	L12.9	Pemphigoid, unspecified
D010392	Pemphigus	L10	Pemphigus
D010392	Pemphigus	L10.9	Pemphigus, unspecified
D010409	Penile Diseases	N48.9	Disorder of penis, unspecified
D010437	Peptic Ulcer	K27	Peptic ulcer, site unspecified
D010488	Polyarteritis Nodosa	M30.0	Polyarteritis nodosa
D010510	Periodontal Diseases	K05.6	Periodontal disease, unspecified
D010532	Peritoneal Diseases	K65-K67.9	Diseases of peritoneum
D010532	Peritoneal Diseases	K66.9	Disorder of peritoneum, unspecified
D010538	Peritonitis	K65	Peritonitis
D010538	Peritonitis	K65.9	Peritonitis, unspecified
D000039	Peritonsillar Abscess	J36	Peritonsillar abscess
D010547	Persistent Fetal Circulation Syndrome	P29.3	Persistent fetal circulation
D010554	Personality Disorders	F60.9	Personality disorder, unspecified
D010591	Phantom Limb	G54.6	Phantom limb syndrome with pain
D000072861	Phobia, Social	F40.1	Social phobias
D010760	Phosphorus Metabolism Disorders	E83.3	Disorders of phosphorus metabolism
D010845	Obesity Hypoventilation Syndrome	E66.2	Extreme obesity with alveolar hypoventilation
D010864	Pilonidal Sinus	L05	Pilonidal cyst
D010874	Pinta	A67.9	Pinta, unspecified
D010874	Pinta	A67	Pinta [carate]
D010900	Pituitary Diseases	E23.7	Disorder of pituitary gland, unspecified
D017515	Pityriasis Rosea	L42	Pityriasis rosea
D010916	Pityriasis Rubra Pilaris	L44.0	Pityriasis rubra pilaris
D010922	Placenta Diseases	O43	Placental disorders
D010922	Placenta Diseases	O43.9	Placental disorder, unspecified
D010923	Placenta Previa	O44	Placenta praevia
D010930	Plague	A20	Plague
D010930	Plague	A20.9	Plague, unspecified
D010998	Pleurisy	R09.1	Pleurisy
D011000	Pleurodynia, Epidemic	B33.0	Epidemic myalgia
D011004	Plummer-Vinson Syndrome	D50.1	Sideropenic dysphagia
D011009	Pneumoconiosis	J64	Unspecified pneumoconiosis
D011014	Pneumonia	J18.9	Pneumonia, unspecified
D011019	Pneumonia, Mycoplasma	J15.7	Pneumonia due to Mycoplasma pneumoniae
D011023	Pneumonia, Staphylococcal	J15.2	Pneumonia due to staphylococcus
D011024	Pneumonia, Viral	J12.9	Viral pneumonia, unspecified
D011030	Pneumothorax	J93	Pneumothorax
D011030	Pneumothorax	J93.9	Pneumothorax, unspecified
D011051	Poliomyelitis	A80	Acute poliomyelitis
D011051	Poliomyelitis	A80.9	Acute poliomyelitis, unspecified
D011081	Polychondritis, Relapsing	M94.1	Relapsing polychondritis
D011085	Polycystic Ovary Syndrome	E28.2	Polycystic ovarian syndrome
D011087	Polycythemia Vera	D45	Polycythaemia vera
D011111	Polymyalgia Rheumatica	M35.3	Polymyalgia rheumatica
D011141	Polyuria	R35	Polyuria
D011151	Popliteal Cyst	M71.2	Synovial cyst of popliteal space [Baker]
D011178	Postgastrectomy Syndromes	K91.1	Postgastric surgery syndromes
D051474	Neuralgia, Postherpetic	G53.0	Postzoster neuralgia
D006473	Postpartum Hemorrhage	O72	Postpartum haemorrhage
D011185	Postpericardiotomy Syndrome	I97.0	Postcardiotomy syndrome
D011186	Postphlebitic Syndrome	I87.0	Postphlebitic syndrome
D011225	Pre-Eclampsia	O14.9	Pre-eclampsia, unspecified
D011226	Pre-Excitation Syndromes	I45.6	Pre-excitation syndrome
D011254	Pregnancy in Diabetics	O24	Diabetes mellitus in pregnancy
D011254	Pregnancy in Diabetics	O24.9	Diabetes mellitus in pregnancy, unspecified
D011269	Pregnancy, Abdominal	O00.0	Abdominal pregnancy
D011271	Pregnancy, Ectopic	O00	Ectopic pregnancy
D011271	Pregnancy, Ectopic	O00.9	Ectopic pregnancy, unspecified
D011272	Pregnancy, Multiple	O30.9	Multiple gestation, unspecified
D011272	Pregnancy, Multiple	O30	Multiple gestation
D065172	Pregnancy, Ovarian	O00.2	Ovarian pregnancy
D011273	Pregnancy, Prolonged	O48	Prolonged pregnancy
D011274	Pregnancy, Tubal	O00.1	Tubal pregnancy
D018880	Atrial Premature Complexes	I49.1	Atrial premature depolarization
D061686	Premature Ejaculation	F52.4	Premature ejaculation
D011304	Presbycusis	H91.1	Presbycusis
D011305	Presbyopia	H52.4	Presbyopia
D011317	Priapism	N48.3	Priapism
D011469	Prostatic Diseases	N42.9	Disorder of prostate, unspecified
D011472	Prostatitis	N41	Inflammatory diseases of prostate
D011472	Prostatitis	N41.9	Inflammatory disease of prostate, unspecified
D011502	Protein-Energy Malnutrition	E46	Unspecified protein-energy malnutrition
D011528	Protozoan Infections	B50-B64.9	Protozoal diseases
D011528	Protozoan Infections	B64	Unspecified protozoal disease
D011535	Prune Belly Syndrome	Q79.4	Prune belly syndrome
D011537	Pruritus	L29	Pruritus
D011537	Pruritus	L29.9	Pruritus, unspecified
D011538	Pruritus Ani	L29.0	Pruritus ani
D011539	Pruritus Vulvae	L29.2	Pruritus vulvae
D011547	Pseudohypoparathyroidism	E20.1	Pseudohypoparathyroidism
D011559	Pseudotumor Cerebri	G93.2	Benign intracranial hypertension
D011565	Psoriasis	L40	Psoriasis
D011565	Psoriasis	L40.9	Psoriasis, unspecified
D018781	Tension-Type Headache	G44.2	Tension-type headache
D011604	Psychoses, Alcoholic	F10.5	Mental and behavioural disorders due to use of alcohol, psychotic disorder
D011625	Pterygium	H11.0	Pterygium
D011628	Puberty, Delayed	E30.0	Delayed puberty
D011629	Puberty, Precocious	E30.1	Precocious puberty
D011654	Pulmonary Edema	J81	Pulmonary oedema
D011655	Pulmonary Embolism	I26	Pulmonary embolism
D011656	Pulmonary Emphysema	J43	Emphysema
D011656	Pulmonary Emphysema	J43.9	Emphysema, unspecified
D011660	Pulmonary Heart Disease	I27.9	Pulmonary heart disease, unspecified
D011662	Pulmonary Subvalvular Stenosis	Q24.3	Pulmonary infundibular stenosis
D011665	Pulmonary Valve Insufficiency	I37.1	Pulmonary valve insufficiency
D011666	Pulmonary Valve Stenosis	I37.0	Pulmonary valve stenosis
D011671	Pulpitis	K04.0	Pulpitis
D011686	Purine-Pyrimidine Metabolism, Inborn Errors	E79	Disorders of purine and pyrimidine metabolism
D011686	Purine-Pyrimidine Metabolism, Inborn Errors	E79.9	Disorder of purine and pyrimidine metabolism, unspecified
D011695	Purpura, Schoenlein-Henoch	D69.0	Allergic purpura
D011711	Pyoderma	L08.0	Pyoderma
D053018	Pyonephrosis	N13.6	Pyonephrosis
D011778	Q Fever	A78	Q fever
D011782	Quadriplegia	G82.5	Tetraplegia, unspecified
D011818	Rabies	A82	Rabies
D011818	Rabies	A82.9	Rabies, unspecified
D011842	Radicular Cyst	K04.8	Radicular cyst
D011855	Radiodermatitis	L58	Radiodermatitis
D011855	Radiodermatitis	L58.9	Radiodermatitis, unspecified
D011906	Rat-Bite Fever	A25	Rat-bite fevers
D011906	Rat-Bite Fever	A25.9	Rat-bite fever, unspecified
D012003	Rectal Fistula	K60.4	Rectal fistula
D012005	Rectal Prolapse	K62.3	Rectal prolapse
D012021	Reflex, Abnormal	R29.2	Abnormal reflex
D012030	Refractive Errors	H52.7	Disorder of refraction, unspecified
D012035	Refsum Disease	G60.1	Refsum's disease
D012061	Relapsing Fever	A68	Relapsing fevers
D012061	Relapsing Fever	A68.9	Relapsing fever, unspecified
D012120	Respiration Disorders	J00-J99.9	Diseases of the respiratory system
D012120	Respiration Disorders	J98.9	Respiratory disorder, unspecified
D012127	Respiratory Distress Syndrome, Newborn	P22.0	Respiratory distress syndrome of newborn
D012127	Respiratory Distress Syndrome, Newborn	P22	Respiratory distress of newborn
D012127	Respiratory Distress Syndrome, Newborn	P22.9	Respiratory distress of newborn, unspecified
D012128	Respiratory Distress Syndrome, Adult	J80	Adult respiratory distress syndrome
D015619	Respiratory System Abnormalities	Q30-Q34.9	Congenital malformations of the respiratory system
D015619	Respiratory System Abnormalities	Q34.9	Congenital malformation of respiratory system, unspecified
D012164	Retinal Diseases	H35.9	Retinal disorder, unspecified
D012166	Retinal Hemorrhage	H35.6	Retinal haemorrhage
D012178	Retinopathy of Prematurity	H35.1	Retinopathy of prematurity
D015518	Rett Syndrome	F84.2	Rett's syndrome
D012202	Reye Syndrome	G93.7	Reye's syndrome
D012216	Rheumatic Diseases	M79.0	Rheumatism, unspecified
D012213	Rheumatic Fever	I00-I02.9	Acute rheumatic fever
D012214	Rheumatic Heart Disease	I09.9	Rheumatic heart disease, unspecified
D012218	Rheumatoid Nodule	M06.3	Rheumatoid nodule
D012223	Rhinitis, Vasomotor	J30.0	Vasomotor rhinitis
D012224	Rhinophyma	L71.1	Rhinophyma
D012227	Rhinosporidiosis	B48.1	Rhinosporidiosis
D012253	Rib Fractures	S22.3	Fracture of rib
D012257	Riboflavin Deficiency	E53.0	Riboflavin deficiency
D012282	Rickettsia Infections	A75-A79.9	Rickettsioses
D012282	Rickettsia Infections	A79.9	Rickettsiosis, unspecified
D012295	Rift Valley Fever	A92.4	Rift Valley fever
D012373	Rocky Mountain Spotted Fever	A77.0	Spotted fever due to Rickettsia rickettsii
D012393	Rosacea	L71	Rosacea
D012393	Rosacea	L71.9	Rosacea, unspecified
D012409	Rubella	B06	Rubella [German measles]
D012410	Rubella Syndrome, Congenital	P35.0	Congenital rubella syndrome
D015494	Salivary Gland Calculi	K11.5	Sialolithiasis
D012466	Salivary Gland Diseases	K11	Diseases of salivary glands
D012466	Salivary Gland Diseases	K11.9	Disease of salivary gland, unspecified
D012467	Salivary Gland Fistula	K11.4	Fistula of salivary gland
D012478	Salmonella Food Poisoning	A02.0	Salmonella enteritis
D012480	Salmonella Infections	A02.9	Salmonella infection, unspecified
D012507	Sarcoidosis	D86	Sarcoidosis
D012507	Sarcoidosis	D86.9	Sarcoidosis, unspecified
D017565	Sarcoidosis, Pulmonary	D86.0	Sarcoidosis of lung
D012514	Sarcoma, Kaposi	C46	Kaposi's sarcoma
D012514	Sarcoma, Kaposi	C46.9	Kaposi's sarcoma, unspecified
D012515	Mast-Cell Sarcoma	C96.2	Malignant mast cell tumour
D012532	Scabies	B86	Scabies
D012541	Scarlet Fever	A38	Scarlet fever
D012544	Scheuermann Disease	M42.0	Juvenile osteochondrosis of spine
D012552	Schistosomiasis	B65	Schistosomiasis [bilharziasis]
D012552	Schistosomiasis	B65.9	Schistosomiasis, unspecified
D012554	Schistosomiasis japonica	B65.2	Schistosomiasis due to Schistosoma japonicum
D012555	Schistosomiasis mansoni	B65.1	Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis]
D012557	Schizoid Personality Disorder	F60.1	Schizoid personality disorder
D012559	Schizophrenia	F20	Schizophrenia
D012559	Schizophrenia	F20.9	Schizophrenia, unspecified
D012560	Schizophrenia, Catatonic	F20.2	Catatonic schizophrenia
D012562	Schizophrenia, Disorganized	F20.1	Hebephrenic schizophrenia
D012563	Schizophrenia, Paranoid	F20.0	Paranoid schizophrenia
D012585	Sciatica	M54.3	Sciatica
D012587	Scimitar Syndrome	Q26.2	Total anomalous pulmonary venous connection
D015422	Scleral Diseases	H15	Disorders of sclera
D015422	Scleral Diseases	H15.9	Disorder of sclera, unspecified
D012593	Sclerema Neonatorum	P83.0	Sclerema neonatorum
D015423	Scleritis	H15.0	Scleritis
D012594	Scleroderma, Localized	L94.0	Localized scleroderma [morphea]
D012595	Scleroderma, Systemic	M34.0	Progressive systemic sclerosis
D012595	Scleroderma, Systemic	M34	Systemic sclerosis
D012595	Scleroderma, Systemic	M34.9	Systemic sclerosis, unspecified
D012600	Scoliosis	M41	Scoliosis
D012600	Scoliosis	M41.9	Scoliosis, unspecified
D012612	Scrub Typhus	A75.3	Typhus fever due to Rickettsia tsutsugamushi
D012628	Dermatitis, Seborrheic	L21	Seborrhoeic dermatitis
D012628	Dermatitis, Seborrheic	L21.9	Seborrhoeic dermatitis, unspecified
D012749	Sexually Transmitted Diseases	A50-A64.9	Infections with a predominantly sexual mode of transmission
D012749	Sexually Transmitted Diseases	A64	Unspecified sexually transmitted disease
D012751	Sezary Syndrome	C84.1	Sezary's disease
D012753	Shared Paranoid Disorder	F24	Induced delusional disorder
D012769	Shock	R57.9	Shock, unspecified
D012770	Shock, Cardiogenic	R57.0	Cardiogenic shock
D012774	Shock, Traumatic	T79.4	Traumatic shock
D012783	Shoulder Dislocation	S43.0	Dislocation of shoulder joint
D012793	Sialadenitis	K11.2	Sialoadenitis
D012804	Sick Sinus Syndrome	I49.5	Sick sinus syndrome
D012805	Sickle Cell Trait	D57.3	Sickle-cell trait
D012806	Siderosis	J63.4	Siderosis
D012829	Silicosis	J62	Pneumoconiosis due to dust containing silica
D012857	Situs Inversus	Q89.3	Situs inversus
D012868	Skin Abnormalities	Q82.9	Congenital malformation of skin, unspecified
D012891	Sleep Apnea Syndromes	G47.3	Sleep apnoea
D020184	Night Terrors	F51.4	Sleep terrors [night terrors]
D012899	Smallpox	B03	Smallpox
D012909	Snake Bites	T63.0	Snake venom
D012912	Sneezing	R06.7	Sneezing
D013001	Somatoform Disorders	F45	Somatoform disorders
D013001	Somatoform Disorders	F45.9	Somatoform disorder, unspecified
D013009	Somnambulism	F51.3	Sleepwalking [somnambulism]
D013031	Sparganosis	B70.1	Sparganosis
D015419	Spastic Paraplegia, Hereditary	G11.4	Hereditary spastic paraplegia
D013086	Spermatic Cord Torsion	N44	Torsion of testis
D013088	Spermatocele	N43.4	Spermatocele
D013103	Spherocytosis, Hereditary	D58.0	Hereditary spherocytosis
D013106	Sphingolipidoses	E75.3	Sphingolipidosis, unspecified
D013117	Spinal Cord Compression	G95.2	Cord compression, unspecified
D013118	Spinal Cord Diseases	G95.9	Disease of spinal cord, unspecified
D013119	Spinal Cord Injuries	T09.3	Injury of spinal cord, level unspecified
D013122	Spinal Diseases	M45-M49.9	Spondylopathies
D013122	Spinal Diseases	M48.9	Spondylopathy, unspecified
D013130	Spinal Stenosis	M48.0	Spinal stenosis
D013145	Spirochaetales Infections	A69.9	Spirochaetal infection, unspecified
D013158	Splenic Diseases	D73	Diseases of spleen
D013158	Splenic Diseases	D73.9	Disease of spleen, unspecified
D013159	Splenic Infarction	D73.5	Infarction of spleen
D013166	Spondylitis	M46.9	Inflammatory spondylopathy, unspecified
D013167	Spondylitis, Ankylosing	M45	Ankylosing spondylitis
D013168	Spondylolisthesis	M43.1	Spondylolisthesis
D013169	Spondylolysis	M43.0	Spondylolysis
D055009	Spondylosis	M47	Spondylosis
D055009	Spondylosis	M47.9	Spondylosis, unspecified
D013174	Sporotrichosis	B42	Sporotrichosis
D013174	Sporotrichosis	B42.9	Sporotrichosis, unspecified
D000073605	Spotted Fever Group Rickettsiosis	A77.9	Spotted fever, unspecified
D000073605	Spotted Fever Group Rickettsiosis	A77	Spotted fever [tick-borne rickettsioses]
D013182	Sprue, Tropical	K90.1	Tropical sprue
D013202	Staphylococcal Food Poisoning	A05.0	Foodborne staphylococcal intoxication
D013203	Staphylococcal Infections	A49.0	Staphylococcal infection, unspecified
D013206	Staphylococcal Scalded Skin Syndrome	L00	Staphylococcal scalded skin syndrome
D013224	Status Asthmaticus	J46	Status asthmaticus
D013226	Status Epilepticus	G41	Status epilepticus
D013226	Status Epilepticus	G41.9	Status epilepticus, unspecified
D019956	Stereotypic Movement Disorder	F98.4	Stereotyped movement disorders
D013262	Stevens-Johnson Syndrome	L51.1	Bullous erythema multiforme
D013273	Diverticulum, Stomach	K31.4	Gastric diverticulum
D013276	Stomach Ulcer	K25	Gastric ulcer
D013285	Strabismus	H50.5	Heterophoria
D013285	Strabismus	H50.9	Strabismus, unspecified
D013290	Streptococcal Infections	A49.1	Streptococcal infection, unspecified
D013313	Stress Disorders, Post-Traumatic	F43.1	Post-traumatic stress disorder
D020521	Stroke	I64	Stroke, not specified as haemorrhage or infarction
D013322	Strongyloidiasis	B78	Strongyloidiasis
D013322	Strongyloidiasis	B78.9	Strongyloidiasis, unspecified
D013344	Subacute Sclerosing Panencephalitis	A81.1	Subacute sclerosing panencephalitis
D013345	Subarachnoid Hemorrhage	I60	Subarachnoid haemorrhage
D013345	Subarachnoid Hemorrhage	I60.9	Subarachnoid haemorrhage, unspecified
D013398	Sudden Infant Death	R95	Sudden infant death syndrome
D013471	Sunburn	L55	Sunburn
D013471	Sunburn	L55.9	Sunburn, unspecified
D013494	Supranuclear Palsy, Progressive	G23.1	Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]
D013543	Sweat Gland Diseases	L74	Eccrine sweat disorders
D013543	Sweat Gland Diseases	L74.9	Eccrine sweat disorder, unspecified
D013575	Syncope	R55	Syncope and collapse
D013576	Syndactyly	Q70	Syndactyly
D013576	Syndactyly	Q70.9	Syndactyly, unspecified
D013586	Synovitis, Pigmented Villonodular	M12.2	Villonodular synovitis (pigmented)
D013587	Syphilis	A53.9	Syphilis, unspecified
D013589	Syphilis, Cardiovascular	A52.0	Cardiovascular syphilis
D013589	Syphilis, Cardiovascular	I98.0	Cardiovascular syphilis
D013590	Syphilis, Congenital	A50	Congenital syphilis
D013590	Syphilis, Congenital	A50.9	Congenital syphilis, unspecified
D013592	Syphilis, Latent	A53.0	Latent syphilis, unspecified as early or late
D013610	Tachycardia	R00.0	Tachycardia, unspecified
D013614	Tachycardia, Paroxysmal	I47	Paroxysmal tachycardia
D013614	Tachycardia, Paroxysmal	I47.9	Paroxysmal tachycardia, unspecified
D013617	Tachycardia, Supraventricular	I47.1	Supraventricular tachycardia
D013622	Taeniasis	B68	Taeniasis
D013622	Taeniasis	B68.9	Taeniasis, unspecified
D013625	Takayasu Arteritis	M31.4	Aortic arch syndrome [Takayasu]
D013641	Tarsal Tunnel Syndrome	G57.5	Tarsal tunnel syndrome
D013683	Telangiectasia, Hereditary Hemorrhagic	I78.0	Hereditary haemorrhagic telangiectasia
D013705	Temporomandibular Joint Disorders	K07.6	Temporomandibular joint disorders
D013716	Tennis Elbow	M77.1	Lateral epicondylitis
D013734	Androgen-Insensitivity Syndrome	E34.5	Androgen resistance syndrome
D013746	Tetany	R29.0	Tetany
D013771	Tetralogy of Fallot	Q21.3	Tetralogy of Fallot
D013789	Thalassemia	D56	Thalassaemia
D013789	Thalassemia	D56.9	Thalassaemia, unspecified
D013796	Thanatophoric Dysplasia	Q77.1	Thanatophoric short stature
D013832	Thiamine Deficiency	E51	Thiamine deficiency
D013832	Thiamine Deficiency	E51.9	Thiamine deficiency, unspecified
D013898	Thoracic Injuries	S20-S29.9	Injuries to the thorax
D013898	Thoracic Injuries	S29.9	Unspecified injury of thorax
D013919	Thromboangiitis Obliterans	I73.1	Thromboangiitis obliterans [Buerger]
D013920	Thrombocythemia, Essential	D47.3	Essential (haemorrhagic) thrombocythaemia
D013920	Thrombocythemia, Essential	D75.2	Essential thrombocytosis
D013921	Thrombocytopenia	D69.6	Thrombocytopenia, unspecified
D013958	Thyroid Crisis	E05.5	Thyroid crisis or storm
D013959	Thyroid Diseases	E07.9	Disorder of thyroid, unspecified
D013959	Thyroid Diseases	E00-E07.9	Disorders of thyroid gland
D013966	Thyroiditis	E06	Thyroiditis
